Name,X,Y,Elevation,Soi properties (main),,,X1(CAD),Y1(CAD)
TB-1,549699.0411,213765.3279,128.6,reclaimed layer,,,549699.0411,213765.3279
TB-1,549699.0411,213765.3279,126.6,sedimentary layer,,,549699.0411,213765.3279
TB-1,549699.0411,213765.3279,117.6,weathered soil,,,549699.0411,213765.3279
TB-1,549699.0411,213765.3279,108.1,weathered rock,,,549699.0411,213765.3279
TB-1,549699.0411,213765.3279,94.6,soft rock,,,549699.0411,213765.3279
TB-2,549766.86,213773.92,129.84,reclaimed layer,,,549768.9893,213768.0208
TB-2,549766.86,213773.92,128.34,sedimentary layer,,,549768.9893,213768.0208
TB-2,549766.86,213773.92,107.34,weathered soil,,,549768.9893,213768.0208
TB-2,549766.86,213773.92,96.94,weathered rock,,,549768.9893,213768.0208
TB-2,549766.86,213773.92,91.94,soft rock,,,549768.9893,213768.0208
TB-3,549838.5656,213766.1633,127.98,reclaimed layer,,,549838.5656,213766.1633
TB-3,549838.5656,213766.1633,113.98,weathered soil,,,549838.5656,213766.1633
TB-3,549838.5656,213766.1633,102.18,weathered rock,,,549838.5656,213766.1633
TB-3,549838.5656,213766.1633,92.98,soft rock,,,549838.5656,213766.1633
TB-4,549909.28,213783.53,132.28,reclaimed layer,,,549908.3225,213771.9923
TB-4,549909.28,213783.53,113.68,weathered soil,,,549908.3225,213771.9923
TB-4,549909.28,213783.53,99.78,weathered rock,,,549908.3225,213771.9923
TB-4,549909.28,213783.53,93.68,soft rock,,,549908.3225,213771.9923
TB-5,549984.791,213780.543,131.54,reclaimed layer,,,549984.791,213780.5431
TB-5,549984.791,213780.543,129.34,sedimentary layer,,,549984.791,213780.5431
TB-5,549984.791,213780.543,122.04,weathered soil,,,549984.791,213780.5431
TB-5,549984.791,213780.543,110.04,weathered rock,,,549984.791,213780.5431
TB-5,549984.791,213780.543,99.14,soft rock,,,549984.791,213780.5431
TB-5,549984.791,213780.543,91.84,moderate rock,,,549984.791,213780.5431
TB-6,550051.78,213791.06,130.4,reclaimed layer,,,550051.9144,213782.9414
TB-6,550051.78,213791.06,122.9,weathered soil,,,550051.9144,213782.9414
TB-6,550051.78,213791.06,101.5,weathered rock,,,550051.9144,213782.9414
TB-6,550051.78,213791.06,94.6,soft rock,,,550051.9144,213782.9414
TB-6,550051.78,213791.06,92.9,moderate rock,,,550051.9144,213782.9414
TB-7,550109.449,213784.997,131.4,reclaimed layer,,,550109.4487,213784.997
TB-7,550109.449,213784.997,130.4,sedimentary layer,,,550109.4487,213784.997
TB-7,550109.449,213784.997,117.9,weathered soil,,,550109.4487,213784.997
TB-7,550109.449,213784.997,105.4,weathered rock,,,550109.4487,213784.997
TB-7,550109.449,213784.997,90.9,soft rock,,,550109.4487,213784.997
TB-8,550158.97,213796.53,133.43,reclaimed layer,,,550159.3242,213787.9737
TB-8,550158.97,213796.53,132.53,sedimentary layer,,,550159.3242,213787.9737
TB-8,550158.97,213796.53,123.23,weathered soil,,,550159.3242,213787.9737
TB-8,550158.97,213796.53,107.53,weathered rock,,,550159.3242,213787.9737
TB-8,550158.97,213796.53,101.03,soft rock,,,550159.3242,213787.9737
TB-8,550158.97,213796.53,91.23,moderate rock,,,550159.3242,213787.9737
TB-9,550229.189,213792.161,133.78,reclaimed layer,,,550229.1889,213792.1609
TB-9,550229.189,213792.161,125.78,weathered soil,,,550229.1889,213792.1609
TB-9,550229.189,213792.161,112.78,weathered rock,,,550229.1889,213792.1609
TB-9,550229.189,213792.161,104.78,soft rock,,,550229.1889,213792.1609
TB-9,550229.189,213792.161,93.78,hard rock,,,550229.1889,213792.1609
TB-10,550300.78,213802.28,134,reclaimed layer,,,550299.1475,213794.5505
TB-10,550300.78,213802.28,126.8,weathered soil,,,550299.1475,213794.5505
TB-10,550300.78,213802.28,125.2,weathered rock,,,550299.1475,213794.5505
TB-10,550300.78,213802.28,107.1,soft rock,,,550299.1475,213794.5505
TB-10,550300.78,213802.28,93.8,hard rock,,,550299.1475,213794.5505
TB-11,550368.962,213799.646,134.15,reclaimed layer,,,550368.9618,213799.6457
TB-11,550368.962,213799.646,131.65,sedimentary layer,,,550368.9618,213799.6457
TB-11,550368.962,213799.646,126.15,weathered soil,,,550368.9618,213799.6457
TB-11,550368.962,213799.646,123.65,weathered rock,,,550368.9618,213799.6457
TB-11,550368.962,213799.646,100.15,soft rock,,,550368.9618,213799.6457
TB-11,550368.962,213799.646,92.15,moderate rock,,,550368.9618,213799.6457
TB-12,550438,213806.05,134.2,reclaimed layer,,,550438.7311,213802.9476
TB-12,550438,213806.05,130.9,sedimentary layer,,,550438.7311,213802.9476
TB-12,550438,213806.05,127.6,weathered soil,,,550438.7311,213802.9476
TB-12,550438,213806.05,126.4,weathered rock,,,550438.7311,213802.9476
TB-12,550438,213806.05,105.7,soft rock,,,550438.7311,213802.9476
TB-12,550438,213806.05,103.6,moderate rock,,,550438.7311,213802.9476
TB-12,550438,213806.05,92.6,hard rock,,,550438.7311,213802.9476
TB-13,550508.381,213805.914,134.71,reclaimed layer,,,550508.3808,213805.9142
TB-13,550508.381,213805.914,126.71,weathered soil,,,550508.3808,213805.9142
TB-13,550508.381,213805.914,120.11,weathered rock,,,550508.3808,213805.9142
TB-13,550508.381,213805.914,100.71,soft rock,,,550508.3808,213805.9142
TB-13,550508.381,213805.914,90.71,moderate rock,,,550508.3808,213805.9142
TB-14,550586.88,213815.82,136.07,reclaimed layer,,,550578.0638,213808.86
TB-14,550586.88,213815.82,133.07,weathered soil,,,550578.0638,213808.86
TB-14,550586.88,213815.82,129.37,weathered rock,,,550578.0638,213808.86
TB-14,550586.88,213815.82,116.17,soft rock,,,550578.0638,213808.86
TB-14,550586.88,213815.82,90.87,moderate rock,,,550578.0638,213808.86
TB-15,550647.923,213813.301,134.85,reclaimed layer,,,550647.9227,213813.3012
TB-15,550647.923,213813.301,131.35,weathered rock,,,550647.9227,213813.3012
TB-15,550647.923,213813.301,118.85,soft rock,,,550647.9227,213813.3012
TB-15,550647.923,213813.301,103.85,moderate rock,,,550647.9227,213813.3012
TB-15,550647.923,213813.301,88.85,hard rock,,,550647.9227,213813.3012
TB-16,550708.35,213824.54,135,reclaimed layer,,,550707.7678,213817.6107
TB-16,550708.35,213824.54,133,weathered soil,,,550707.7678,213817.6107
TB-16,550708.35,213824.54,123.8,weathered rock,,,550707.7678,213817.6107
TB-16,550708.35,213824.54,117.9,soft rock,,,550707.7678,213817.6107
TB-16,550708.35,213824.54,88.6,hard rock,,,550707.7678,213817.6107
TB-17,550777.981,213821.447,135.35,reclaimed layer,,,550777.9811,213821.4473
TB-17,550777.981,213821.447,131.35,weathered soil,,,550777.9811,213821.4473
TB-17,550777.981,213821.447,119.35,weathered rock,,,550777.9811,213821.4473
TB-17,550777.981,213821.447,100.85,soft rock,,,550777.9811,213821.4473
TB-17,550777.981,213821.447,94.85,moderate rock,,,550777.9811,213821.4473
TB-17,550777.981,213821.447,84.35,hard rock,,,550777.9811,213821.4473
TB-18,550861.27,213832.29,134.84,reclaimed layer,,,550848.1196,213823.8569
TB-18,550861.27,213832.29,117.44,weathered soil,,,550848.1196,213823.8569
TB-18,550861.27,213832.29,108.44,weathered rock,,,550848.1196,213823.8569
TB-18,550861.27,213832.29,89.04,soft rock,,,550848.1196,213823.8569
TB-18,550861.27,213832.29,84.24,hard rock,,,550848.1196,213823.8569
TB-19,550918.782,213827.0611,136.2,reclaimed layer,,,550918.782,213827.0611
TB-19,550918.782,213827.0611,125.2,weathered soil,,,550918.782,213827.0611
TB-19,550918.782,213827.0611,97.2,weathered rock,,,550918.782,213827.0611
TB-19,550918.782,213827.0611,94.2,soft rock,,,550918.782,213827.0611
TB-19,550918.782,213827.0611,88.7,moderate rock,,,550918.782,213827.0611
TB-19,550918.782,213827.0611,80.2,hard rock,,,550918.782,213827.0611
TB-20,550975.89,213836.64,137.55,reclaimed layer,,,550974.1386,213829.4167
TB-20,550975.89,213836.64,129.75,weathered soil,,,550974.1386,213829.4167
TB-20,550975.89,213836.64,103.65,weathered rock,,,550974.1386,213829.4167
TB-20,550975.89,213836.64,94.85,soft rock,,,550974.1386,213829.4167
TB-20,550975.89,213836.64,90.55,moderate rock,,,550974.1386,213829.4167
TB-20,550975.89,213836.64,80.15,hard rock,,,550974.1386,213829.4167
TB-21,550615.737,213672.712,132.5,reclaimed layer,,,550615.737,213672.7122
TB-21,550615.737,213672.712,112,weathered soil,,,550615.737,213672.7122
TB-21,550615.737,213672.712,103.5,weathered rock,,,550615.737,213672.7122
TB-21,550615.737,213672.712,90.5,soft rock,,,550615.737,213672.7122
TB-21,550615.737,213672.712,87,moderate rock,,,550615.737,213672.7122
TB-22,550622.56,213730.7,134.49,reclaimed layer,,,550626.9,213737.3069
TB-22,550622.56,213730.7,114.19,weathered soil,,,550626.9,213737.3069
TB-22,550622.56,213730.7,104.19,weathered rock,,,550626.9,213737.3069
TB-22,550622.56,213730.7,93.69,soft rock,,,550626.9,213737.3069
TB-22,550622.56,213730.7,86.99,hard rock,,,550626.9,213737.3069
