Name,X,Y,Elevation,Soi properties (main),,Update evlevation,Elevation past
NTB-1,549723.89,213802.88,128.5,reclaimed layer,,128.5,28.5
NTB-1,549723.89,213802.88,126,sedimentary layer,,126,26
NTB-1,549723.89,213802.88,121.5,weathered soil,,121.5,21.5
NTB-1,549723.89,213802.88,107.7,weathered rock,,107.7,7.7
NTB-1,549723.89,213802.88,99.7,soft rock,,99.7,-0.3
NTB-1,549723.89,213802.88,93.7,moderate rock,,93.7,-6.3
NTB-1,549723.89,213802.88,90.7,soft rock,,90.7,-9.3
NTB-1,549723.89,213802.88,84.7,moderate rock,,84.7,-15.3
NTB-1,549723.89,213802.88,82.5,soft rock,,82.5,-17.5
NTB-1-1,549675,213801,127.92,reclaimed layer,,127.92,27.92
NTB-1-1,549675,213801,125.92,sedimentary layer,,125.92,25.92
NTB-1-1,549675,213801,120.92,weathered soil,,120.92,20.92
NTB-1-1,549675,213801,100.42,weathered rock,,100.42,0.42
NTB-1-1,549675,213801,96.22,soft rock,,96.22,-3.78
NTB-1-1,549675,213801,93.52,moderate rock,,93.52,-6.48
NTB-1-1,549675,213801,88.12,soft rock,,88.12,-11.88
NTB-1-1,549675,213801,85.42,moderate rock,,85.42,-14.58
NTB-1-1,549675,213801,82.92,soft rock,,82.92,-17.08
NTB-2,549830,213807,130.31,reclaimed layer,,130.31,30.31
NTB-2,549830,213807,127.81,sedimentary layer,,127.81,27.81
NTB-2,549830,213807,119.31,weathered soil,,119.31,19.31
NTB-2,549830,213807,100.51,weathered rock,,100.51,0.51
NTB-2,549830,213807,91.51,soft rock,,91.51,-8.49
NTB-2,549830,213807,85.51,hard rock,,85.51,-14.49
NTB-2,549830,213807,80.31,moderate rock,,80.31,-19.69
NTB-3,549983,213781,131.3,reclaimed layer,,131.3,31.3
NTB-3,549983,213781,127.4,sedimentary layer,,127.4,27.4
NTB-3,549983,213781,123,weathered soil,,123,23
NTB-3,549983,213781,106,weathered rock,,106,6
NTB-3,549983,213781,100.5,soft rock,,100.5,0.5
NTB-3,549983,213781,98.4,moderate rock,,98.4,-1.6
NTB-3,549983,213781,95.5,soft rock,,95.5,-4.5
NTB-3,549983,213781,92.5,hard rock,,92.5,-7.5
NTB-3,549983,213781,90,moderate rock,,90,-10
NTB-3,549983,213781,80.4,soft rock,,80.4,-19.6
NTB-3,549983,213781,79,moderate rock,,79,-21
NTB-4,550164,213796,131.37,reclaimed layer,,131.37,31.37
NTB-4,550164,213796,127.17,weathered soil,,127.17,27.17
NTB-4,550164,213796,111.17,weathered rock,,111.17,11.17
NTB-4,550164,213796,97.87,soft rock,,97.87,-2.13
NTB-4,550164,213796,83.07,hard rock,,83.07,-16.93
NTB-4,550164,213796,80.17,moderate rock,,80.17,-19.83
NTB-5,550517.68,213854.75,133.9,reclaimed layer,,133.9,33.9
NTB-5,550517.68,213854.75,127.4,weathered soil,,127.4,27.4
NTB-5,550517.68,213854.75,119.4,weathered rock,,119.4,19.4
NTB-5,550517.68,213854.75,109.9,soft rock,,109.9,9.9
NTB-5,550517.68,213854.75,102.8,moderate rock,,102.8,2.8
NTB-5,550517.68,213854.75,78.4,soft rock,,78.4,-21.6
