X,Y,Elevation,Target
549500,213550,-20,1
549500,213550,-10,1
549500,213550,0,2
549500,213550,10,2
549500,213550,20,3
549500,213550,30,3
549500,213550,40,4
549500,213600,-20,1
549500,213600,-10,2
549500,213600,0,2
549500,213600,10,3
549500,213600,20,3
549500,213600,30,3
549500,213600,40,4
549500,213650,-20,1
549500,213650,-10,2
549500,213650,0,2
549500,213650,10,3
549500,213650,20,3
549500,213650,30,4
549500,213650,40,4
549500,213700,-20,2
549500,213700,-10,2
549500,213700,0,2
549500,213700,10,3
549500,213700,20,3
549500,213700,30,4
549500,213700,40,4
549500,213750,-20,2
549500,213750,-10,2
549500,213750,0,3
549500,213750,10,3
549500,213750,20,4
549500,213750,30,4
549500,213750,40,4
549500,213800,-20,2
549500,213800,-10,2
549500,213800,0,3
549500,213800,10,3
549500,213800,20,4
549500,213800,30,4
549500,213800,40,5
549500,213850,-20,2
549500,213850,-10,2
549500,213850,0,3
549500,213850,10,3
549500,213850,20,4
549500,213850,30,4
549500,213850,40,5
549500,213900,-20,2
549500,213900,-10,3
549500,213900,0,3
549500,213900,10,4
549500,213900,20,4
549500,213900,30,5
549500,213900,40,5
549550,213550,-20,1
549550,213550,-10,1
549550,213550,0,2
549550,213550,10,2
549550,213550,20,3
549550,213550,30,3
549550,213550,40,4
549550,213600,-20,1
549550,213600,-10,2
549550,213600,0,2
549550,213600,10,3
549550,213600,20,3
549550,213600,30,3
549550,213600,40,4
549550,213650,-20,1
549550,213650,-10,2
549550,213650,0,2
549550,213650,10,3
549550,213650,20,3
549550,213650,30,4
549550,213650,40,4
549550,213700,-20,2
549550,213700,-10,2
549550,213700,0,3
549550,213700,10,3
549550,213700,20,3
549550,213700,30,4
549550,213700,40,4
549550,213750,-20,2
549550,213750,-10,2
549550,213750,0,3
549550,213750,10,3
549550,213750,20,4
549550,213750,30,4
549550,213750,40,4
549550,213800,-20,2
549550,213800,-10,2
549550,213800,0,3
549550,213800,10,3
549550,213800,20,4
549550,213800,30,4
549550,213800,40,5
549550,213850,-20,2
549550,213850,-10,2
549550,213850,0,3
549550,213850,10,4
549550,213850,20,4
549550,213850,30,4
549550,213850,40,5
549550,213900,-20,2
549550,213900,-10,3
549550,213900,0,3
549550,213900,10,4
549550,213900,20,4
549550,213900,30,5
549550,213900,40,5
549600,213550,-20,1
549600,213550,-10,2
549600,213550,0,2
549600,213550,10,2
549600,213550,20,3
549600,213550,30,3
549600,213550,40,4
549600,213600,-20,1
549600,213600,-10,2
549600,213600,0,2
549600,213600,10,3
549600,213600,20,3
549600,213600,30,3
549600,213600,40,4
549600,213650,-20,1
549600,213650,-10,2
549600,213650,0,2
549600,213650,10,3
549600,213650,20,3
549600,213650,30,4
549600,213650,40,4
549600,213700,-20,1
549600,213700,-10,2
549600,213700,0,3
549600,213700,10,3
549600,213700,20,3
549600,213700,30,4
549600,213700,40,4
549600,213750,-20,2
549600,213750,-10,2
549600,213750,0,3
549600,213750,10,3
549600,213750,20,4
549600,213750,30,4
549600,213750,40,4
549600,213800,-20,2
549600,213800,-10,2
549600,213800,0,3
549600,213800,10,3
549600,213800,20,4
549600,213800,30,4
549600,213800,40,5
549600,213850,-20,2
549600,213850,-10,2
549600,213850,0,3
549600,213850,10,4
549600,213850,20,4
549600,213850,30,4
549600,213850,40,5
549600,213900,-20,2
549600,213900,-10,3
549600,213900,0,3
549600,213900,10,4
549600,213900,20,4
549600,213900,30,5
549600,213900,40,5
549650,213550,-20,1
549650,213550,-10,2
549650,213550,0,2
549650,213550,10,2
549650,213550,20,3
549650,213550,30,3
549650,213550,40,4
549650,213600,-20,1
549650,213600,-10,2
549650,213600,0,2
549650,213600,10,3
549650,213600,20,3
549650,213600,30,3
549650,213600,40,4
549650,213650,-20,1
549650,213650,-10,2
549650,213650,0,2
549650,213650,10,3
549650,213650,20,3
549650,213650,30,4
549650,213650,40,4
549650,213700,-20,1
549650,213700,-10,2
549650,213700,0,3
549650,213700,10,3
549650,213700,20,3
549650,213700,30,4
549650,213700,40,4
549650,213750,-20,2
549650,213750,-10,2
549650,213750,0,3
549650,213750,10,3
549650,213750,20,4
549650,213750,30,4
549650,213750,40,4
549650,213800,-20,2
549650,213800,-10,2
549650,213800,0,3
549650,213800,10,3
549650,213800,20,4
549650,213800,30,4
549650,213800,40,5
549650,213850,-20,2
549650,213850,-10,2
549650,213850,0,3
549650,213850,10,4
549650,213850,20,4
549650,213850,30,4
549650,213850,40,5
549650,213900,-20,2
549650,213900,-10,3
549650,213900,0,3
549650,213900,10,4
549650,213900,20,4
549650,213900,30,5
549650,213900,40,5
549700,213550,-20,1
549700,213550,-10,2
549700,213550,0,2
549700,213550,10,2
549700,213550,20,3
549700,213550,30,3
549700,213550,40,4
549700,213600,-20,1
549700,213600,-10,2
549700,213600,0,2
549700,213600,10,3
549700,213600,20,3
549700,213600,30,4
549700,213600,40,4
549700,213650,-20,1
549700,213650,-10,2
549700,213650,0,2
549700,213650,10,3
549700,213650,20,3
549700,213650,30,4
549700,213650,40,4
549700,213700,-20,1
549700,213700,-10,2
549700,213700,0,3
549700,213700,10,3
549700,213700,20,3
549700,213700,30,4
549700,213700,40,4
549700,213750,-20,2
549700,213750,-10,2
