X,Y,Elevation,Target
549648,213758,80,9
549648,213758,85,9
549648,213758,90,9
549648,213758,95,9
549648,213758,100,0
549648,213758,105,1
549648,213758,110,1
549648,213758,115,2
549648,213758,120,2
549648,213758,125,3
549648,213758,130,3
549648,213758,135,4
549648,213758,140,5
549648,213768,80,9
549648,213768,85,9
549648,213768,90,9
549648,213768,95,0
549648,213768,100,0
549648,213768,105,1
549648,213768,110,1
549648,213768,115,2
549648,213768,120,2
549648,213768,125,3
549648,213768,130,4
549648,213768,135,4
549648,213768,140,5
549648,213778,80,9
549648,213778,85,9
549648,213778,90,9
549648,213778,95,0
549648,213778,100,0
549648,213778,105,1
549648,213778,110,1
549648,213778,115,2
549648,213778,120,3
549648,213778,125,3
549648,213778,130,4
549648,213778,135,4
549648,213778,140,5
549648,213788,80,9
549648,213788,85,9
549648,213788,90,9
549648,213788,95,0
549648,213788,100,0
549648,213788,105,1
549648,213788,110,1
549648,213788,115,2
549648,213788,120,3
549648,213788,125,3
549648,213788,130,4
549648,213788,135,4
549648,213788,140,5
549648,213798,80,9
549648,213798,85,9
549648,213798,90,9
549648,213798,95,0
549648,213798,100,0
549648,213798,105,1
549648,213798,110,2
549648,213798,115,2
549648,213798,120,3
549648,213798,125,3
549648,213798,130,4
549648,213798,135,4
549648,213798,140,5
549648,213808,80,9
549648,213808,85,9
549648,213808,90,0
549648,213808,95,0
549648,213808,100,1
549648,213808,105,1
549648,213808,110,2
549648,213808,115,2
549648,213808,120,3
549648,213808,125,3
549648,213808,130,4
549648,213808,135,5
549648,213808,140,5
549648,213818,80,9
549648,213818,85,9
549648,213818,90,0
549648,213818,95,0
549648,213818,100,1
549648,213818,105,1
549648,213818,110,2
549648,213818,115,2
549648,213818,120,3
549648,213818,125,3
549648,213818,130,4
549648,213818,135,5
549648,213818,140,5
549648,213828,80,9
549648,213828,85,0
549648,213828,90,0
549648,213828,95,0
549648,213828,100,1
549648,213828,105,1
549648,213828,110,2
549648,213828,115,2
549648,213828,120,3
549648,213828,125,4
549648,213828,130,4
549648,213828,135,5
549648,213828,140,5
549658,213758,80,9
549658,213758,85,9
549658,213758,90,9
549658,213758,95,0
549658,213758,100,0
549658,213758,105,1
549658,213758,110,1
549658,213758,115,2
549658,213758,120,2
549658,213758,125,3
549658,213758,130,4
549658,213758,135,4
549658,213758,140,5
549658,213768,80,9
549658,213768,85,9
549658,213768,90,9
549658,213768,95,0
549658,213768,100,0
549658,213768,105,1
549658,213768,110,1
549658,213768,115,2
549658,213768,120,3
549658,213768,125,3
549658,213768,130,4
549658,213768,135,4
549658,213768,140,5
549658,213778,80,9
549658,213778,85,9
549658,213778,90,9
549658,213778,95,0
549658,213778,100,0
549658,213778,105,1
549658,213778,110,1
549658,213778,115,2
549658,213778,120,3
549658,213778,125,3
549658,213778,130,4
549658,213778,135,4
549658,213778,140,5
549658,213788,80,9
